NOC,Event,MedalCount,GoldCount,TeamCount,PeopleCount,MedalYearCount,MedalYearRatio,MedalRatio,EncodedFeature
AFG,10m Air Pistol Men,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,Boxing Men's Lightweight,0,0.0,1.0,1.0,0.0,0.0,0.0,0.00442813237364606
AFG,Women +67kg,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,Boxing Men's Light-Welterweight,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,Women +78 kg,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,Women -48 kg,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,Boxing Men's Light-Middleweight,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,Women -49kg,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,Boxing Men's Light-Heavyweight,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,Women -52 kg,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,Boxing Men's Light-Flyweight,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,Women -57 kg,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,Boxing Men's Heavyweight,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,Boxing Men's Welterweight,0,0.0,1.0,1.0,0.0,0.0,0.0,0.00442813237364606
AFG,"Rowing Men's Coxed Fours, Outriggers",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,Women -57kg,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,Boxing Men's Featherweight,0,0.0,1.0,1.0,0.0,0.0,0.0,0.00442813237364606
AFG,Women -67kg,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,Boxing Men's Bantamweight,0,0.0,1.0,1.0,0.0,0.0,0.0,0.00442813237364606
AFG,Women -70 kg,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,Beach Volleyball Women's Beach Volleyball,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,Women -78 kg,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,Beach Volleyball Men's Beach Volleyball,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,Women Team,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,Basque Pelota Men's Two-Man Teams With Cesta,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,Women's +81kg,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,Weightlifting Women's Super-Heavyweight,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,Boxing Men's Super-Heavyweight,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,Boxing Men's Flyweight,0,0.0,1.0,1.0,0.0,0.0,0.0,0.00442813237364606
AFG,Women -63 kg,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,Basketball Men's Basketball,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,Weightlifting Women's Middleweight,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,"Women's 10,000m",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,"Canoeing Men's Canadian Singles, Slalom",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,Weightlifting Men's Heavyweight II,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,"Canoeing Men's Canadian Singles, 500 metres",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,Weightlifting Men's Light-Heavyweight,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,"Canoeing Men's Canadian Singles, 200 metres",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
