NOC,Immediate_Impact_Factor
United States,-0.004128546116874573
China,0.004267331503473366
Japan,0.0011511755418333685
Australia,0.0030930406447119627
France,-0.0010179310411878102
Netherlands,0.0014266095390052316
Great Britain,-0.006208587141867164
South Korea,0.003670024412424137
Italy,0.00046853329259915056
Germany,0.003234017408567283
New Zealand,0.0024116377029473153
Canada,0.00034255682234402707
Uzbekistan,0.0016769905482229314
Hungary,0.0017907066062005789
Spain,0.0017334424210691157
Sweden,0.0008586204841382828
Kenya,-4.4649341960627714e-05
Norway,0.0007850960416918421
Ireland,0.0002967701053506619
Brazil,0.0022079284542517344
Iran,0.0007959294899852577
Ukraine,0.0007450897231848775
Romania,0.0011263428573338738
Georgia,0.0008458089089932442
Belgium,0.0006096305456631724
Bulgaria,0.0006582346925459763
Serbia,0.000455906010193837
Czech Republic,0.0010944425313067381
Denmark,0.0007603371909305769
Azerbaijan,0.003416449854126377
Croatia,0.0019406805509537125
Cuba,0.00011814510171403607
Bahrain,0.0
Slovenia,0.0006668403886370123
Chinese Taipei,0.00010509386218844705
Austria,0.0003028512868451551
Hong Kong,0.0007494447363396144
Philippines,0.0005607985569140556
Algeria,0.0003074326862343108
Indonesia,0.0003298866769471921
Israel,0.0009923113296066766
Poland,0.0006142546592128562
Kazakhstan,-0.001208086302632225
Jamaica,0.000309919501588461
South Africa,0.0002264752802455202
Thailand,0.00015118508732800417
Ethiopia,0.0003908746442255078
Switzerland,0.0004469944314281038
Ecuador,0.0
Portugal,0.00024309558406543672
Greece,0.00021307993278588686
Argentina,0.00038680712228696405
Egypt,8.282697085790051e-06
Tunisia,0.00021980421703721403
Botswana,0.0
Chile,0.00019056691471020873
Saint Lucia,0.0
Uganda,5.357237420320271e-06
Dominican Republic,0.00013816015165901444
Guatemala,0.0
Morocco,0.00012041206460697865
Dominica,0.0
Pakistan,-8.404128037915485e-07
Turkey,0.0005231133884783491
Mexico,-0.00032179066188928705
Armenia,9.394156154861344e-05
Colombia,0.0008439503920102795
Kyrgyzstan,0.0
North Korea,0.00034999350782927835
Lithuania,0.00024492780519646737
India,0.0003466198714282477
Moldova,0.00014682421623858784
Kosovo,0.0
Cyprus,0.0
Fiji,0.0
Jordan,0.0
Mongolia,0.00010539440936315313
Panama,0.0
Tajikistan,0.0
Albania,0.0
Grenada,0.0
Malaysia,0.0013856383778631971
Puerto Rico,0.00011579612366979659
Cabo Verde,0.0
Ivory Coast,0.0
Peru,4.655507662315374e-05
Qatar,0.0004416461135433598
Refugee Olympic Team,0.0
Singapore,8.389043117527102e-05
Slovakia,0.00024348941901151846
Zambia,0.0
