NOC,总参赛人次,总参赛项目数,平均每届参赛人次,平均每届参赛项目数,参加届数,标签
AFG,117,31,9.75,2.583333333333333,12,1
AHO,48,26,6,3.25,8,1
AIN,46,30,46,30,1,1
ALB,82,51,8.2,5.1,10,1
ALG,119,46,23.8,9.2,5,1
AND,60,33,4.615384615384615,2.5384615384615383,13,0
ANG,313,68,28.454545454545453,6.181818181818182,11,0
ANT,144,48,12,4,12,0
ANZ,48,20,48,20,1,1
ARG,112,40,28,10,4,1
ARM,38,36,38,36,1,1
ARU,53,37,5.3,3.7,10,0
ASA,43,30,4.3,3,10,0
AUS,5,5,5,5,1,1
AUT,8,8,8,8,1,1
AZE,24,23,24,23,1,1
BAH,12,5,6,2.5,2,1
BAN,68,33,6.181818181818182,3,11,0
BAR,173,62,21.625,7.75,8,1
BDI,7,6,7,6,1,1
BEL,100,31,100,31,1,1
BEN,83,44,6.384615384615385,3.3846153846153846,13,0
BER,100,26,11.11111111111111,2.888888888888889,9,1
BHU,43,11,3.909090909090909,1,11,0
BIH,87,49,9.666666666666666,5.444444444444445,9,0
BIZ,81,33,5.785714285714286,2.357142857142857,14,0
BLR,259,115,259,115,1,1
BOH,9,9,9,9,1,1
BOL,130,67,8.125,4.1875,16,0
BOT,76,22,8.444444444444445,2.4444444444444446,9,1
BRA,41,13,20.5,6.5,2,1
BRN,93,36,11.625,4.5,8,1
BRU,15,13,2.142857142857143,1.8571428571428568,7,0
BUL,307,50,61.4,10,5,1
BUR,52,31,5.2,3.1,10,1
CAF,73,36,6.083333333333333,3,12,0
CAM,69,40,6.2727272727272725,3.636363636363636,11,0
CAN,7,5,7,5,1,1
CAY,94,42,7.833333333333333,3.5,12,0
CGO,112,39,8,2.7857142857142856,14,0
CHA,47,24,3.357142857142857,1.7142857142857142,14,0
CHI,94,41,23.5,10.25,4,1
CHN,424,123,84.8,24.6,5,1
CIV,63,27,12.6,5.4,5,1
CMR,7,7,3.5,3.5,2,1
COD,106,50,8.833333333333334,4.166666666666667,12,0
COK,51,34,5.1,3.4,10,0
COL,1,1,1,1,1,1
COM,27,19,3.375,2.375,8,0
CPV,31,22,3.875,2.75,8,1
CRC,146,54,18.25,6.75,8,1
CRO,46,23,46,23,1,1
CUB,2,2,2,2,1,1
CYP,157,70,17.444444444444443,7.777777777777778,9,1
CZE,169,110,169,110,1,1
DEN,15,12,15,12,1,1
DJI,9,5,4.5,2.5,2,1
DMA,24,16,3,2,8,1
DOM,72,41,12,6.833333333333333,6,1
ECU,146,73,16.22222222222222,8.11111111111111,9,1
EGY,95,27,31.666666666666668,9,3,1
EOR,79,54,39.5,27,2,1
ERI,8,3,4,1.5,2,1
ESA,234,101,16.714285714285715,7.214285714285714,14,0
ESP,12,7,12,7,1,1
EST,20,19,20,19,1,1
ETH,45,13,22.5,6.5,2,1
EUN,650,234,650,234,1,1
FIJ,228,70,16.285714285714285,5,14,1
FIN,94,23,94,23,1,1
FRA,26,18,26,18,1,1
FRG,432,154,432,154,1,1
FSM,32,16,4.571428571428571,2.2857142857142856,7,0
GAB,57,22,6.333333333333333,2.4444444444444446,9,1
GAM,69,26,6.2727272727272725,2.363636363636364,11,0
GBR,25,19,25,19,1,1
GBS,31,21,3.875,2.625,8,0
GDR,346,124,346,124,1,1
GEO,42,39,42,39,1,1
GEQ,46,19,4.181818181818182,1.7272727272727273,11,0
GER,94,27,94,27,1,1
GHA,24,14,12,7,2,1
GRE,148,39,148,39,1,1
GRN,48,24,6,3,8,1
GUA,385,130,27.5,9.285714285714286,14,1
