NOC,首次参加年份,首次获得奖牌年份,参加届数
AFG,1936,2008.0,12.0
AHO,1952,1988.0,8.0
AIN,2024,2024.0,1.0
ALB,1972,2024.0,10.0
ALG,1964,1984.0,5.0
AND,1976,,-1.0
ANG,1980,,-1.0
ANT,1976,,-1.0
ANZ,1908,1908.0,1.0
ARG,1900,1924.0,4.0
ARM,1996,1996.0,1.0
ARU,1988,,-1.0
ASA,1988,,-1.0
AUS,1896,1896.0,1.0
AUT,1896,1896.0,1.0
AZE,1996,1996.0,1.0
BAH,1952,1956.0,2.0
BAN,1984,,-1.0
BAR,1968,2000.0,8.0
BDI,1996,1996.0,1.0
BEL,1900,1900.0,1.0
BEN,1972,,-1.0
BER,1936,1976.0,9.0
BHU,1984,,-1.0
BIH,1992,,-1.0
BIZ,1968,,-1.0
BLR,1996,1996.0,1.0
BOH,1900,1900.0,1.0
BOL,1936,,-1.0
BOT,1980,2012.0,9.0
BRA,1900,1920.0,2.0
BRN,1984,2012.0,8.0
BRU,1996,,-1.0
BUL,1924,1952.0,5.0
BUR,1972,2020.0,10.0
CAF,1968,,-1.0
CAM,1956,,-1.0
CAN,1900,1900.0,1.0
CAY,1976,,-1.0
CGO,1964,,-1.0
CHA,1964,,-1.0
CHI,1912,1928.0,4.0
CHN,1932,1984.0,5.0
CIV,1964,1984.0,5.0
CMR,1964,1968.0,2.0
COD,1968,,-1.0
COK,1988,,-1.0
COL,1900,1900.0,1.0
COM,1996,,-1.0
CPV,1996,2024.0,8.0
CRC,1936,1988.0,8.0
CRO,1992,1992.0,1.0
CUB,1900,1900.0,1.0
CYP,1980,2012.0,9.0
CZE,1996,1996.0,1.0
DEN,1896,1896.0,1.0
DJI,1984,1988.0,2.0
DMA,1996,2024.0,8.0
DOM,1964,1984.0,6.0
ECU,1924,1996.0,9.0
EGY,1920,1928.0,3.0
EOR,2020,2024.0,2.0
ERI,2000,2004.0,2.0
ESA,1932,,-1.0
ESP,1900,1900.0,1.0
EST,1920,1920.0,1.0
ETH,1956,1960.0,2.0
EUN,1992,1992.0,1.0
FIJ,1956,2016.0,14.0
FIN,1908,1908.0,1.0
FRA,1896,1896.0,1.0
FRG,1968,1968.0,1.0
FSM,2000,,-1.0
GAB,1972,2012.0,9.0
GAM,1984,,-1.0
GBR,1896,1896.0,1.0
GBS,1996,,-1.0
GDR,1968,1968.0,1.0
GEO,1996,1996.0,1.0
GEQ,1984,,-1.0
GER,1896,1896.0,1.0
GHA,1952,1960.0,2.0
GRE,1896,1896.0,1.0
GRN,1984,2012.0,8.0
GUA,1932,2012.0,14.0
GUI,1968,,-1.0
GUM,1988,,-1.0
GUY,1948,1980.0,8.0
HAI,1900,1900.0,1.0
HKG,1952,1996.0,11.0
HON,1968,,-1.0
HUN,1896,1896.0,1.0
INA,1952,1988.0,8.0
IND,1900,1900.0,1.0
IOA,1992,1992.0,1.0
IRI,1900,1948.0,2.0
IRL,1924,1924.0,1.0
IRQ,1948,1960.0,2.0
ISL,1908,1956.0,6.0
ISR,1952,1992.0,10.0
ISV,1968,1988.0,5.0
ITA,1896,1900.0,2.0
IVB,1984,,-1.0
JAM,1948,1948.0,1.0
JOR,1980,2016.0,10.0
JPN,1912,1920.0,2.0
KAZ,1996,1996.0,1.0
KEN,1956,1964.0,3.0
KGZ,1996,2000.0,2.0
KIR,2004,,-1.0
KOR,1948,1948.0,1.0
KOS,2016,2016.0,1.0
KSA,1972,2000.0,7.0
KUW,1968,2000.0,9.0
LAO,1980,,-1.0
LAT,1924,1932.0,3.0
LBA,1968,,-1.0
LBN,2020,,-1.0
LBR,1956,,-1.0
LCA,1996,2024.0,8.0
LES,1972,,-1.0
LIB,1948,1952.0,2.0
LIE,1936,,-1.0
LTU,1924,1992.0,3.0
LUX,1900,1900.0,1.0
MAD,1964,,-1.0
MAL,1956,,-1.0
MAR,1960,1960.0,1.0
MAS,1964,1992.0,7.0
MAW,1972,,-1.0
MDA,1996,1996.0,1.0
MDV,1988,,-1.0
MEX,1900,1900.0,1.0
MGL,1964,1968.0,2.0
MHL,2008,,-1.0
MKD,1996,2000.0,2.0
MLI,1964,,-1.0
MLT,1928,,-1.0
MNE,2008,2012.0,2.0
MON,1920,1924.0,2.0
MOZ,1980,1996.0,5.0
MRI,1984,2008.0,7.0
MTN,1984,,-1.0
MYA,1948,,-1.0
NAM,1992,1992.0,1.0
NBO,1956,,-1.0
NCA,1968,,-1.0
NED,1900,1900.0,1.0
NEP,1964,,-1.0
NFL,1904,,-1.0
NGR,1952,1964.0,4.0
NIG,1964,1972.0,3.0
NOR,1900,1900.0,1.0
NRU,1996,,-1.0
NZL,1900,1900.0,1.0
OMA,1984,,-1.0
PAK,1948,1956.0,3.0
PAN,1928,1948.0,2.0
PAR,1968,2004.0,9.0
PER,1900,1948.0,4.0
PHI,1924,1928.0,2.0
PLE,1996,,-1.0
PLW,2000,,-1.0
PNG,1976,,-1.0
POL,1912,1924.0,2.0
POR,1912,1924.0,3.0
PRK,1972,1972.0,1.0
PUR,1948,1948.0,1.0
QAT,1984,1992.0,3.0
RHO,1960,,-1.0
ROC,2020,2020.0,1.0
ROT,2016,,-1.0
ROU,1900,1924.0,2.0
RSA,1904,1908.0,2.0
RUS,1900,1908.0,2.0
RWA,1984,,-1.0
SAA,1952,,-1.0
SAM,1984,,-1.0
SCG,1996,1996.0,1.0
SEN,1964,1988.0,7.0
SEY,1980,,-1.0
SGP,1948,1960.0,4.0
SKN,1996,,-1.0
SLE,1968,,-1.0
SLO,1992,1992.0,1.0
SMR,1960,2020.0,15.0
SOL,1984,,-1.0
SOM,1972,,-1.0
SRB,1912,2008.0,2.0
SRI,1948,1948.0,1.0
SSD,2016,,-1.0
STP,1996,,-1.0
SUD,1960,2008.0,10.0
SUI,1896,1896.0,1.0
SUR,1968,1988.0,5.0
SVK,1996,1996.0,1.0
SWE,1896,1900.0,2.0
SWZ,1972,,-1.0
SYR,1948,1984.0,5.0
TAN,1964,1980.0,4.0
TCH,1920,1920.0,1.0
TGA,1984,1996.0,4.0
THA,1952,1976.0,7.0
TJK,1996,2008.0,4.0
TKM,1996,2020.0,7.0
TLS,2004,,-1.0
TOG,1972,2008.0,8.0
TPE,1956,1960.0,2.0
TTO,1948,1948.0,1.0
TUN,1960,1964.0,2.0
TUR,1912,1936.0,5.0
TUV,2008,,-1.0
UAE,1984,2004.0,6.0
UAR,1960,1960.0,1.0
UGA,1956,1968.0,4.0
UKR,1996,1996.0,1.0
UNK,1912,,-1.0
URS,1952,1952.0,1.0
URU,1924,1924.0,1.0
USA,1896,1896.0,1.0
UZB,1996,1996.0,1.0
VAN,1988,,-1.0
VEN,1932,1952.0,3.0
VIE,1980,2000.0,5.0
VIN,1988,,-1.0
VNM,1952,,-1.0
WIF,1960,1960.0,1.0
YAR,1984,,-1.0
YEM,1992,,-1.0
YMD,1988,,-1.0
YUG,1920,1924.0,2.0
ZAM,1964,1984.0,5.0
ZIM,1928,1980.0,4.0
