NOC,首次参加年份,首次获得奖牌年份,总参赛人次,总参赛项目数,平均每届参赛人次,平均每届参赛项目数,参加届数,标签
AFG,1936,2008,117,31,9.75,2.583333333333333,12,1
AHO,1952,1988,48,26,6.0,3.25,8,1
AIN,2024,2024,46,30,46.0,30.0,1,1
ALB,1972,2024,82,51,8.2,5.1,10,1
ALG,1964,1984,119,46,23.8,9.2,5,1
ANZ,1908,1908,48,20,48.0,20.0,1,1
ARG,1900,1924,112,40,28.0,10.0,4,1
ARM,1996,1996,38,36,38.0,36.0,1,1
AUS,1896,1896,5,5,5.0,5.0,1,1
AUT,1896,1896,8,8,8.0,8.0,1,1
AZE,1996,1996,24,23,24.0,23.0,1,1
BAH,1952,1956,12,5,6.0,2.5,2,1
BAR,1968,2000,173,62,21.625,7.75,8,1
BDI,1996,1996,7,6,7.0,6.0,1,1
BEL,1900,1900,100,31,100.0,31.0,1,1
BER,1936,1976,100,26,11.11111111111111,2.888888888888889,9,1
BLR,1996,1996,259,115,259.0,115.0,1,1
BOH,1900,1900,9,9,9.0,9.0,1,1
BOT,1980,2012,76,22,8.444444444444445,2.4444444444444446,9,1
BRA,1900,1920,41,13,20.5,6.5,2,1
BRN,1984,2012,93,36,11.625,4.5,8,1
BUL,1924,1952,307,50,61.4,10.0,5,1
BUR,1972,2020,52,31,5.2,3.1,10,1
CAN,1900,1900,7,5,7.0,5.0,1,1
CHI,1912,1928,94,41,23.5,10.25,4,1
CHN,1932,1984,424,123,84.8,24.6,5,1
CIV,1964,1984,63,27,12.6,5.4,5,1
CMR,1964,1968,7,7,3.5,3.5,2,1
COL,1900,1900,1,1,1.0,1.0,1,1
CPV,1996,2024,31,22,3.875,2.75,8,1
CRC,1936,1988,146,54,18.25,6.75,8,1
CRO,1992,1992,46,23,46.0,23.0,1,1
CUB,1900,1900,2,2,2.0,2.0,1,1
CYP,1980,2012,157,70,17.444444444444443,7.777777777777778,9,1
CZE,1996,1996,169,110,169.0,110.0,1,1
DEN,1896,1896,15,12,15.0,12.0,1,1
DJI,1984,1988,9,5,4.5,2.5,2,1
DMA,1996,2024,24,16,3.0,2.0,8,1
DOM,1964,1984,72,41,12.0,6.833333333333333,6,1
ECU,1924,1996,146,73,16.22222222222222,8.11111111111111,9,1
EGY,1920,1928,95,27,31.666666666666668,9.0,3,1
EOR,2020,2024,79,54,39.5,27.0,2,1
ERI,2000,2004,8,3,4.0,1.5,2,1
ESP,1900,1900,12,7,12.0,7.0,1,1
EST,1920,1920,20,19,20.0,19.0,1,1
ETH,1956,1960,45,13,22.5,6.5,2,1
EUN,1992,1992,650,234,650.0,234.0,1,1
FIJ,1956,2016,228,70,16.285714285714285,5.0,14,1
FIN,1908,1908,94,23,94.0,23.0,1,1
FRA,1896,1896,26,18,26.0,18.0,1,1
FRG,1968,1968,432,154,432.0,154.0,1,1
GAB,1972,2012,57,22,6.333333333333333,2.4444444444444446,9,1
GBR,1896,1896,25,19,25.0,19.0,1,1
GDR,1968,1968,346,124,346.0,124.0,1,1
GEO,1996,1996,42,39,42.0,39.0,1,1
GER,1896,1896,94,27,94.0,27.0,1,1
GHA,1952,1960,24,14,12.0,7.0,2,1
