Rank,NOC,Gold,Silver,Bronze,Total,Year,Total Score,Is Host,Yearly Total Score,Score_Rate,lag1_coeff,lag2_coeff,lag3_coeff
1,United States,11,7,2,20,1896,49,0,251,0.1952191235059761,-0.018635704,-0.009878765,-0.005536997
2,Greece,10,18,19,47,1896,85,1,251,0.3386454183266932,0.064844238365524,-0.031648542,-0.000569784
3,Germany,6,5,2,13,1896,30,0,251,0.1195219123505976,0.0037464236304567,0.054508500406284,0.0294116358445334
4,France,5,4,2,11,1896,25,0,251,0.099601593625498,-0.007371037,-0.005794931,-0.00930495
5,Great Britain,2,3,2,7,1896,14,0,251,0.0557768924302788,-0.06192036,-0.031880806,-0.009741821
6,Hungary,2,1,3,6,1896,11,0,251,0.0438247011952191,0.081822948682144,-0.015298107,0.0298869241525155
7,Austria,2,1,2,5,1896,10,0,251,0.0398406374501992,0.1426373113008584,-0.072329556,0.0240571260583699
8,Australia,2,0,0,2,1896,6,0,251,0.0239043824701195,0.0593783761803394,0.0105979239956092,-0.017491077
9,Denmark,1,2,3,6,1896,10,0,251,0.0398406374501992,0.11215174873682,-0.059377711,0.0395365798657709
10,Switzerland,1,2,0,3,1896,7,0,251,0.0278884462151394,0.0645047778662797,-0.042643872,0.0670263595359131
11,Mixed team,1,0,1,2,1896,4,0,251,0.0159362549800796,0.0,0.0,0.0
1,France,27,39,37,103,1900,196,1,571,0.3432574430823117,-0.007371037,-0.005794931,-0.00930495
2,United States,19,14,15,48,1900,100,0,571,0.1751313485113835,-0.018635704,-0.009878765,-0.005536997
3,Great Britain,15,7,9,31,1900,68,0,571,0.1190893169877408,-0.06192036,-0.031880806,-0.009741821
4,Mixed team,8,5,6,19,1900,40,0,571,0.0700525394045534,0.0,0.0,0.0
5,Belgium,6,7,4,17,1900,36,0,571,0.063047285464098,0.0999535450525768,-0.072116842,0.0394756734574606
6,Switzerland,6,2,1,9,1900,23,0,571,0.0402802101576182,0.0645047778662797,-0.042643872,0.0670263595359131
7,Germany,4,3,2,9,1900,20,0,571,0.0350262697022767,0.0037464236304567,0.054508500406284,0.0294116358445334
8,Italy,3,2,0,5,1900,13,0,571,0.0227670753064798,-0.028464728,0.000580383620461,0.0517707547535864
9,Australia,2,0,3,5,1900,9,0,571,0.0157618213660245,0.0593783761803394,0.0105979239956092,-0.017491077
10,Denmark,1,3,2,6,1900,11,0,571,0.0192644483362521,0.11215174873682,-0.059377711,0.0395365798657709
11,Hungary,1,2,2,5,1900,9,0,571,0.0157618213660245,0.081822948682144,-0.015298107,0.0298869241525155
12,Cuba,1,1,0,2,1900,5,0,571,0.0087565674255691,0.1150892571363936,-0.012649172,-0.039939664
13,Canada,1,0,1,2,1900,4,0,571,0.0070052539404553,0.0147731501056603,-0.004054787,0.0028425278416601
14,Spain,1,0,0,1,1900,3,0,571,0.0052539404553415,0.0523829915644519,-0.003431032,0.0516043365955357
14,Luxembourg,1,0,0,1,1900,3,0,571,0.0052539404553415,0.0,0.0,0.0
16,Austria,0,3,3,6,1900,9,0,571,0.0157618213660245,0.1426373113008584,-0.072329556,0.0240571260583699
17,Norway,0,2,3,5,1900,7,0,571,0.0122591943957968,0.0736612564982121,0.0268687394913607,-0.030603601
17,Netherlands,0,2,3,5,1900,7,0,571,0.0122591943957968,0.0326027226637719,0.0182504912085674,-0.013945041
19,India,0,2,0,2,1900,4,0,571,0.0070052539404553,0.0354053868167537,0.0374176492799498,0.0175643905294755
20,Bohemia,0,1,1,2,1900,3,0,571,0.0052539404553415,0.0,0.0,0.0
21,Sweden,0,0,1,1,1900,1,0,571,0.0017513134851138,0.0678301712724681,-0.015719948,0.0220085393768702
