NOC,参加届数,总参赛人次,总参赛项目数,平均每届参赛人次,平均每届参赛项目数
AND,13,60,33,4.615384615384615,2.5384615384615383
ANG,11,313,68,28.454545454545453,6.181818181818182
ANT,12,144,48,12,4
ARU,10,53,37,5.3,3.7
ASA,10,43,30,4.3,3
BAN,11,68,33,6.181818181818182,3
BEN,13,83,44,6.384615384615385,3.3846153846153846
BHU,11,43,11,3.909090909090909,1
BIH,9,87,49,9.666666666666666,5.444444444444445
BIZ,14,81,33,5.785714285714286,2.357142857142857
BOL,16,130,67,8.125,4.1875
BRU,7,15,13,2.142857142857143,1.8571428571428572
CAF,12,73,36,6.083333333333333,3
CAM,11,69,40,6.2727272727272725,3.6363636363636362
CAY,12,94,42,7.833333333333333,3.5
CGO,14,112,39,8,2.7857142857142856
CHA,14,47,24,3.357142857142857,1.7142857142857142
COD,12,106,50,8.833333333333334,4.166666666666667
COK,10,51,34,5.1,3.4
COM,8,27,19,3.375,2.375
ESA,14,234,101,16.714285714285715,7.214285714285714
FSM,7,32,16,4.571428571428571,2.2857142857142856
GAM,11,69,26,6.2727272727272725,2.3636363636363638
GBS,8,31,21,3.875,2.625
GEQ,11,46,19,4.181818181818182,1.7272727272727273
GUI,13,103,43,7.923076923076923,3.3076923076923075
GUM,10,125,70,12.5,7
HON,13,218,71,16.76923076923077,5.461538461538462
IVB,11,49,23,4.454545454545454,2.090909090909091
KIR,6,17,10,2.8333333333333335,1.6666666666666667
LAO,11,62,31,5.636363636363637,2.8181818181818183
LBA,12,94,51,7.833333333333333,4.25
LBR,14,88,26,6.285714285714286,1.8571428571428572
LES,13,71,27,5.461538461538462,2.076923076923077
LIE,19,103,53,5.421052631578948,2.789473684210526
MAD,14,130,65,9.285714285714286,4.642857142857143
MAW,12,95,37,7.916666666666667,3.0833333333333335
MDV,10,58,23,5.8,2.3
MHL,5,20,13,4,2.6
MLI,15,120,43,8,2.8666666666666667
MLT,18,129,52,7.166666666666667,2.888888888888889
MTN,11,33,18,3,1.6363636363636365
MYA,19,115,54,6.052631578947368,2.8421052631578947
NCA,14,144,79,10.285714285714286,5.642857142857143
NEP,15,100,50,6.666666666666667,3.3333333333333335
NRU,8,16,11,2,1.375
OMA,11,75,30,6.818181818181818,2.727272727272727
PLE,8,34,29,4.25,3.625
PLW,7,31,18,4.428571428571429,2.5714285714285716
PNG,12,123,61,10.25,5.083333333333333
RWA,11,69,30,6.2727272727272725,2.727272727272727
SAM,11,100,61,9.090909090909092,5.545454545454546
SEY,11,120,66,10.909090909090908,6
SKN,8,47,11,5.875,1.375
SLE,13,122,40,9.384615384615385,3.076923076923077
SOL,11,32,21,2.909090909090909,1.9090909090909092
SOM,11,35,13,3.1818181818181817,1.1818181818181819
SSD,3,19,8,6.333333333333333,2.6666666666666665
STP,8,23,18,2.875,2.25
SWZ,12,71,40,5.916666666666667,3.3333333333333335
TLS,6,15,10,2.5,1.6666666666666667
TUV,5,11,6,2.2,1.2
VAN,10,44,27,4.4,2.7
VIN,10,49,20,4.9,2
VNM,6,62,24,10.333333333333334,4
YEM,9,42,29,4.666666666666667,3.2222222222222223
