NOC,Obs_Years,lag1_coeff,lag2_coeff,lag3_coeff
Algeria,5,0.10567416280787309,-0.062907429,0.046565644855021446
Argentina,18,0.037793208964143246,-0.009101754,0.050199913320920816
Armenia,4,0.11328588901068659,0.05930821242420499,-0.098302284
Australia,25,0.059378376180339434,0.010597923995609269,-0.017491077
Austria,24,0.14263731130085844,-0.072329556,0.02405712605836998
Azerbaijan,5,0.00285377314981211,-0.170842115,0.29502482493941284
Bahamas,7,0.0588599123419141,-0.010917959,0.06167330574402977
Belarus,4,0.09619272427035848,0.04959220736937686,-0.054547977
Belgium,25,0.0999535450525768,-0.072116842,0.03947567345746068
Brazil,18,0.04746678522720421,0.01318283390234688,0.05700266709282542
Bulgaria,15,0.09336390524828651,0.00604036587266892,-0.012116691
Cameroon,3,0.2906221822213744,-0.144000571,-0.108229423
Canada,25,0.01477315010566039,-0.004054787,0.00284252784166018
Chile,5,0.00615825189535261,-0.003767427,0.04684352641923546
China,8,0.03492121857506561,-0.010283681,0.02449349037959861
Chinese Taipei,7,0.07995373922539632,-0.067888814,0.12000639968294229
Colombia,8,0.14849363364686824,-0.135378614,0.1076244483216264
Croatia,6,0.0534783003042977,-0.06571429,0.17506825725911448
Cuba,14,0.11508925713639369,-0.012649172,-0.039939664
Czech Republic,5,-0.003407146,0.0993248221971498,0.0032549006544948895
Czechoslovakia,13,0.07498212822392028,-0.036724513,0.05625312947288601
Denmark,26,0.11215174873682003,-0.059377711,0.03953657986577092
Dominican Republic,4,-0.001958229,0.02443361098960242,0.09423477679415623
East Germany,2,0.21663337232816246,-0.012795974,-0.259261104
Egypt,9,-0.011362303,0.01703077972019684,-0.019578094
Estonia,8,0.08805988162257887,-0.056791081,0.029837845459897087
Ethiopia,11,0.05018330738173573,0.03779943277739242,0.00652215124370598
Finland,23,0.06876375736369614,0.04534126943942282,-0.030496104
France,27,-0.007371037,-0.005794931,-0.00930495
Georgia,5,0.08277499231199673,0.0030194783867324203,0.026213548999991187
Germany,15,0.00374642363045671,0.05450850040628402,0.02941163584453348
Ghana,2,0.022410605683430028,0.035050259630363824,0.0039971230831726805
Great Britain,27,-0.06192036,-0.031880806,-0.009741821
Greece,18,0.06484423836552403,-0.031648542,-0.000569784
Hong Kong,2,0.02745439723540624,0.11352521030225145,0.18655818389205284
Hungary,25,0.081822948682144,-0.015298107,0.029886924152515544
India,17,0.03540538681675376,0.03741764927994986,0.017564390529475598
Indonesia,7,0.03255258217314895,0.06799032565251864,-0.011363667
Iran,15,0.023829516663971283,0.022961073847542802,0.043987502198278836
Ireland,12,0.00437709770960893,0.04927323997119829,0.03612402530977462
Israel,5,0.12997356743902885,0.00047324735827254,0.0856536644549932
Italy,25,-0.028464728,0.00058038362046109,0.05177075475358646
Jamaica,14,0.0855338332575038,-0.021296139,0.0019865870098395
Japan,20,0.03089543302788423,0.00767937069833381,-0.020519968
Kazakhstan,5,-0.038340672,-0.170647365,-0.023989539
Kenya,11,-0.020869328,-0.005983973,0.01432544877599079
Latvia,6,0.0795054125886066,-0.054190134,0.06611130558850709
Lithuania,6,0.06697662872725521,0.00521964837079158,0.015584966654931151
Malaysia,4,-0.013200238,-0.073822421,0.3160609266471389
Mexico,19,-0.036453767,-0.033701709,-0.026782985
Moldova,2,0.05645416629419083,-0.21467388,0.20430609910009548
Mongolia,10,0.035654320611992266,0.00409097689865582,0.03805846293032302
Morocco,9,0.057273536400146284,-0.004840799,0.026537007661280348
Netherlands,24,0.032602722663771996,0.01825049120856747,-0.013945041
New Zealand,20,0.09915134040469739,-0.003886849,0.00978126512504062
Nigeria,7,0.058806629073474906,0.00908443319327628,0.014166638559404341
North Korea,8,0.10031928218117062,-0.077190182,0.07010358468880155
Norway,23,0.07366125649821212,0.02686873949136071,-0.030603601
Pakistan,7,-0.044496238,0.042899512711044904,0.055625834910339865
Peru,2,-0.000488819,-0.001099503,0.03504957651369518
Philippines,7,0.11256214406386159,0.04137742405701344,-0.04002275
Poland,20,0.09607810729301064,-0.033445012,0.029878840146076717
Portugal,14,0.05025173072209059,0.006258057795671861,0.04424108277544131
Puerto Rico,6,0.03334490174983071,0.00779399082032723,0.045175446795705385
Qatar,3,0.17202400889801145,0.2662275765399336,-0.502723561
Romania,18,0.1381380069280918,-0.032482878,-0.008737718
Russia,3,0.018584899861450947,0.015915797527242682,0.0385310585231525
Serbia,2,0.09804610614971716,-0.019366898,0.00256797707176829
Singapore,2,-0.029312439,0.00525172743442941,0.08424693836579851
Slovakia,5,0.02361501852042196,0.02841722668775048,0.02334459888524657
Slovenia,6,-0.024357192,0.07228235550215187,0.08267766875151929
South Africa,17,0.00970764750345689,-0.014002044,0.020837128955341542
South Korea,15,0.12995393970745647,-0.096731247,0.04609380764514129
Soviet Union,6,0.01935568545228205,-0.166917418,-0.094159854
Spain,18,0.05238299156445192,-0.003431032,0.05160433659553574
Sweden,25,0.06783017127246813,-0.015719948,0.02200853937687021
Switzerland,25,0.06450477786627976,-0.042643872,0.06702635953591311
Thailand,9,0.07542948315112716,0.01126598045560272,-0.044224613
Trinidad and Tobago,7,0.04855083785652697,-0.0326002,0.057111463539448196
Tunisia,6,0.06548297174580077,-0.022690087,0.0501545173104222
Turkey,16,0.03482458385114382,0.00718721412618222,0.039067038265163764
Uganda,4,0.09527588997672348,-0.08244583,0.07698241841886606
Ukraine,5,0.10553135286677476,-0.081151223,0.055694784821575416
United States,26,-0.018635704,-0.009878765,-0.005536997
Uruguay,5,-0.007648627,0.03216308390595147,0.03831031515302749
Uzbekistan,5,0.00294665492593283,0.08858545965068945,0.09597671153808728
Venezuela,8,0.09821206523825889,-0.009936818,0.01888260959768903
West Germany,2,-0.039513987,0.19320562883167974,-0.044257035
Yugoslavia,11,0.08536948512480098,-0.012944361,0.05150686321152746
