Rank,NOC,Gold,Silver,Bronze,Total,Year,Total Score,Is Host,Yearly Total Score
1,United States,11,7,2,20,1896,49,0,251
2,Greece,10,18,19,47,1896,85,1,251
3,Germany,6,5,2,13,1896,30,0,251
4,France,5,4,2,11,1896,25,0,251
5,Great Britain,2,3,2,7,1896,14,0,251
6,Hungary,2,1,3,6,1896,11,0,251
7,Austria,2,1,2,5,1896,10,0,251
8,Australia,2,0,0,2,1896,6,0,251
9,Denmark,1,2,3,6,1896,10,0,251
10,Switzerland,1,2,0,3,1896,7,0,251
11,Mixed team,1,0,1,2,1896,4,0,251
1,France,27,39,37,103,1900,196,1,571
2,United States,19,14,15,48,1900,100,0,571
3,Great Britain,15,7,9,31,1900,68,0,571
4,Mixed team,8,5,6,19,1900,40,0,571
5,Belgium,6,7,4,17,1900,36,0,571
6,Switzerland,6,2,1,9,1900,23,0,571
7,Germany,4,3,2,9,1900,20,0,571
8,Italy,3,2,0,5,1900,13,0,571
9,Australia,2,0,3,5,1900,9,0,571
10,Denmark,1,3,2,6,1900,11,0,571
11,Hungary,1,2,2,5,1900,9,0,571
12,Cuba,1,1,0,2,1900,5,0,571
13,Canada,1,0,1,2,1900,4,0,571
14,Spain,1,0,0,1,1900,3,0,571
14,Luxembourg,1,0,0,1,1900,3,0,571
16,Austria,0,3,3,6,1900,9,0,571
17,Norway,0,2,3,5,1900,7,0,571
17,Netherlands,0,2,3,5,1900,7,0,571
19,India,0,2,0,2,1900,4,0,571
20,Bohemia,0,1,1,2,1900,3,0,571
21,Sweden,0,0,1,1,1900,1,0,571
1,United States,76,78,77,231,1904,461,1,566
2,Germany,4,5,6,15,1904,28,0,566
3,Canada,4,1,1,6,1904,15,0,566
4,Cuba,3,0,0,3,1904,9,0,566
5,Hungary,2,1,1,4,1904,9,0,566
5,Mixed team,2,1,1,4,1904,9,0,566
7,Norway,2,0,0,2,1904,6,0,566
8,Austria,1,1,1,3,1904,6,0,566
9,Great Britain,1,1,0,2,1904,5,0,566
10,Switzerland,1,0,2,3,1904,5,0,566
11,Greece,1,0,1,2,1904,4,0,566
12,Australia,0,3,1,4,1904,7,0,566
13,France,0,1,0,1,1904,2,0,566
1,Great Britain,56,51,39,146,1908,309,1,651
2,United States,23,12,12,47,1908,105,0,651
3,Sweden,8,6,11,25,1908,47,0,651
4,France,5,5,9,19,1908,34,0,651
5,Germany,3,5,5,13,1908,24,0,651
6,Hungary,3,4,2,9,1908,19,0,651
7,Canada,3,3,10,16,1908,25,0,651
8,Norway,2,3,3,8,1908,15,0,651
9,Italy,2,2,0,4,1908,10,0,651
10,Belgium,1,5,2,8,1908,15,0,651
11,Australasia,1,2,2,5,1908,9,0,651
12,Russian Empire,1,2,0,3,1908,7,0,651
13,Finland,1,1,3,5,1908,8,0,651
14,South Africa,1,1,0,2,1908,5,0,651
15,Greece,0,3,1,4,1908,7,0,651
16,Denmark,0,2,3,5,1908,7,0,651
17,Bohemia,0,0,2,2,1908,2,0,651
17,Netherlands,0,0,2,2,1908,2,0,651
19,Austria,0,0,1,1,1908,1,0,651
1,United States,26,19,19,64,1912,135,0,622
2,Sweden,23,25,17,65,1912,136,1,622
3,Great Britain,10,15,16,41,1912,76,0,622
4,Finland,9,8,9,26,1912,52,0,622
5,France,7,4,3,14,1912,32,0,622
6,Germany,5,13,7,25,1912,48,0,622
7,South Africa,4,2,0,6,1912,16,0,622
8,Norway,3,2,5,10,1912,18,0,622
9,Canada,3,2,3,8,1912,16,0,622
9,Hungary,3,2,3,8,1912,16,0,622
11,Italy,3,1,2,6,1912,13,0,622
12,Australasia,2,2,3,7,1912,13,0,622
13,Belgium,2,1,3,6,1912,11,0,622
14,Denmark,1,6,5,12,1912,20,0,622
15,Greece,1,0,1,2,1912,4,0,622
16,Russian Empire,0,2,3,5,1912,7,0,622
17,Austria,0,2,2,4,1912,6,0,622
18,Netherlands,0,0,3,3,1912,3,0,622
1,United States,41,27,27,95,1920,204,0,895
2,Sweden,19,20,25,64,1920,122,0,895
3,Finland,15,10,9,34,1920,74,0,895
4,Great Britain,14,15,13,42,1920,85,0,895
5,Belgium,14,11,11,36,1920,75,1,895
6,Norway,13,9,9,31,1920,66,0,895
7,Italy,13,5,5,23,1920,54,0,895
8,France,9,19,13,41,1920,78,0,895
9,Netherlands,4,2,5,11,1920,21,0,895
10,Denmark,3,9,1,13,1920,28,0,895
11,South Africa,3,4,3,10,1920,20,0,895
12,Canada,3,3,3,9,1920,18,0,895
13,Switzerland,2,2,7,11,1920,17,0,895
14,Estonia,1,2,0,3,1920,7,0,895
15,Brazil,1,1,1,3,1920,6,0,895
16,Australia,0,2,1,3,1920,5,0,895
17,Japan,0,2,0,2,1920,4,0,895
17,Spain,0,2,0,2,1920,4,0,895
19,Greece,0,1,0,1,1920,2,0,895
19,Luxembourg,0,1,0,1,1920,2,0,895
21,Czechoslovakia,0,0,2,2,1920,2,0,895
22,New Zealand,0,0,1,1,1920,1,0,895
1,United States,45,27,27,99,1924,216,0,757
2,Finland,14,13,10,37,1924,78,0,757
3,France,13,15,10,38,1924,79,1,757
4,Great Britain,9,13,12,34,1924,65,0,757
5,Italy,8,3,5,16,1924,35,0,757
6,Switzerland,7,8,10,25,1924,47,0,757
7,Norway,5,2,3,10,1924,22,0,757
8,Sweden,4,13,12,29,1924,50,0,757
9,Netherlands,4,1,5,10,1924,19,0,757
10,Belgium,3,7,3,13,1924,26,0,757
11,Australia,3,1,2,6,1924,13,0,757
12,Denmark,2,5,2,9,1924,18,0,757
13,Hungary,2,3,4,9,1924,16,0,757
14,Yugoslavia,2,0,0,2,1924,6,0,757
15,Czechoslovakia,1,4,5,10,1924,16,0,757
16,Argentina,1,3,2,6,1924,11,0,757
17,Estonia,1,1,4,6,1924,9,0,757
18,South Africa,1,1,1,3,1924,6,0,757
19,Uruguay,1,0,0,1,1924,3,0,757
20,Austria,0,3,1,4,1924,7,0,757
20,Canada,0,3,1,4,1924,7,0,757
22,Poland,0,1,1,2,1924,3,0,757
23,Haiti,0,0,1,1,1924,1,0,757
23,Japan,0,0,1,1,1924,1,0,757
23,New Zealand,0,0,1,1,1924,1,0,757
23,Portugal,0,0,1,1,1924,1,0,757
23,Romania,0,0,1,1,1924,1,0,757
1,United States,22,18,16,56,1928,118,0,655
2,Germany,10,7,14,31,1928,58,0,655
3,Finland,8,8,9,25,1928,49,0,655
4,Sweden,7,6,12,25,1928,45,0,655
5,Italy,7,5,7,19,1928,38,0,655
6,Switzerland,7,4,4,15,1928,33,0,655
7,France,6,10,5,21,1928,43,0,655
8,Netherlands,6,9,4,19,1928,40,1,655
9,Hungary,4,5,0,9,1928,22,0,655
10,Canada,4,4,7,15,1928,27,0,655
11,Great Britain,3,10,7,20,1928,36,0,655
12,Argentina,3,3,1,7,1928,16,0,655
13,Denmark,3,1,2,6,1928,13,0,655
14,Czechoslovakia,2,5,2,9,1928,18,0,655
15,Japan,2,2,1,5,1928,11,0,655
16,Estonia,2,1,2,5,1928,10,0,655
17,Egypt,2,1,1,4,1928,9,0,655
18,Austria,2,0,1,3,1928,7,0,655
19,Australia,1,2,1,4,1928,8,0,655
19,Norway,1,2,1,4,1928,8,0,655
21,Poland,1,1,3,5,1928,8,0,655
21,Yugoslavia,1,1,3,5,1928,8,0,655
23,South Africa,1,0,2,3,1928,5,0,655
24,India,1,0,0,1,1928,3,0,655
24,Ireland,1,0,0,1,1928,3,0,655
24,New Zealand,1,0,0,1,1928,3,0,655
24,Spain,1,0,0,1,1928,3,0,655
24,Uruguay,1,0,0,1,1928,3,0,655
29,Belgium,0,1,2,3,1928,4,0,655
30,Chile,0,1,0,1,1928,2,0,655
30,Haiti,0,1,0,1,1928,2,0,655
32,Philippines,0,0,1,1,1928,1,0,655
32,Portugal,0,0,1,1,1928,1,0,655
1,United States,44,36,30,110,1932,234,1,745
2,Italy,12,12,12,36,1932,72,0,745
3,France,11,5,4,20,1932,47,0,745
4,Sweden,10,5,9,24,1932,49,0,745
5,Japan,7,7,4,18,1932,39,0,745
6,Hungary,6,5,5,16,1932,33,0,745
7,Germany,5,12,7,24,1932,46,0,745
8,Finland,5,8,12,25,1932,43,0,745
9,Great Britain,5,7,5,17,1932,34,0,745
10,Poland,3,2,4,9,1932,17,0,745
11,Australia,3,1,1,5,1932,12,0,745
12,Argentina,3,1,0,4,1932,11,0,745
13,Canada,2,5,9,16,1932,25,0,745
14,Netherlands,2,5,1,8,1932,17,0,745
15,South Africa,2,0,3,5,1932,9,0,745
16,Ireland,2,0,0,2,1932,6,0,745
17,Czechoslovakia,1,3,2,6,1932,11,0,745
18,Austria,1,1,3,5,1932,8,0,745
19,India,1,0,0,1,1932,3,0,745
20,Denmark,0,5,3,8,1932,13,0,745
21,Mexico,0,2,0,2,1932,4,0,745
22,Latvia,0,1,0,1,1932,2,0,745
22,New Zealand,0,1,0,1,1932,2,0,745
22,Switzerland,0,1,0,1,1932,2,0,745
25,Philippines,0,0,3,3,1932,3,0,745
26,Belgium,0,0,1,1,1932,1,0,745
26,Spain,0,0,1,1,1932,1,0,745
26,Uruguay,0,0,1,1,1932,1,0,745
1,Germany,38,31,32,101,1936,208,1,844
2,United States,24,21,12,57,1936,126,0,844
3,Hungary,10,1,5,16,1936,37,0,844
4,Italy,9,13,5,27,1936,58,0,844
5,Finland,8,6,6,20,1936,42,0,844
6,France,7,6,6,19,1936,39,0,844
7,Sweden,6,5,10,21,1936,38,0,844
8,Japan,6,4,10,20,1936,36,0,844
9,Netherlands,6,4,7,17,1936,33,0,844
10,Austria,5,7,5,17,1936,34,0,844
11,Switzerland,4,9,5,18,1936,35,0,844
12,Great Britain,4,7,3,14,1936,29,0,844
13,Czechoslovakia,3,5,1,9,1936,20,0,844
14,Argentina,2,2,3,7,1936,13,0,844
14,Estonia,2,2,3,7,1936,13,0,844
16,Egypt,2,1,2,5,1936,10,0,844
17,Canada,1,3,5,9,1936,14,0,844
18,Norway,1,3,2,6,1936,11,0,844
19,Turkey,1,0,1,2,1936,4,0,844
20,India,1,0,0,1,1936,3,0,844
20,New Zealand,1,0,0,1,1936,3,0,844
22,Poland,0,4,5,9,1936,13,0,844
23,Denmark,0,2,3,5,1936,7,0,844
24,Latvia,0,1,1,2,1936,3,0,844
25,Romania,0,1,0,1,1936,2,0,844
25,South Africa,0,1,0,1,1936,2,0,844
25,Yugoslavia,0,1,0,1,1936,2,0,844
28,Belgium,0,0,3,3,1936,3,0,844
28,Mexico,0,0,3,3,1936,3,0,844
30,Australia,0,0,1,1,1936,1,0,844
30,Philippines,0,0,1,1,1936,1,0,844
30,Portugal,0,0,1,1,1936,1,0,844
1,United States,38,27,19,84,1948,187,0,822
2,Sweden,16,11,17,44,1948,87,0,822
3,France,10,6,13,29,1948,55,0,822
4,Hungary,10,5,12,27,1948,52,0,822
5,Italy,8,11,8,27,1948,54,0,822
6,Finland,8,7,5,20,1948,43,0,822
7,Turkey,6,4,2,12,1948,28,0,822
8,Czechoslovakia,6,2,3,11,1948,25,0,822
9,Switzerland,5,10,5,20,1948,40,0,822
10,Denmark,5,7,8,20,1948,37,0,822
11,Netherlands,5,2,9,16,1948,28,0,822
12,Great Britain,3,14,6,23,1948,43,1,822
13,Argentina,3,3,1,7,1948,16,0,822
14,Australia,2,6,5,13,1948,23,0,822
15,Belgium,2,2,3,7,1948,13,0,822
16,Egypt,2,2,1,5,1948,11,0,822
17,Mexico,2,1,2,5,1948,10,0,822
18,South Africa,2,1,1,4,1948,9,0,822
19,Norway,1,3,3,7,1948,12,0,822
20,Jamaica,1,2,0,3,1948,7,0,822
21,Austria,1,0,3,4,1948,6,0,822
22,India,1,0,0,1,1948,3,0,822
22,Peru,1,0,0,1,1948,3,0,822
24,Yugoslavia,0,2,0,2,1948,4,0,822
25,Canada,0,1,2,3,1948,4,0,822
26,Portugal,0,1,1,2,1948,3,0,822
26,Uruguay,0,1,1,2,1948,3,0,822
28,Ceylon,0,1,0,1,1948,2,0,822
28,Cuba,0,1,0,1,1948,2,0,822
28,Spain,0,1,0,1,1948,2,0,822
28,Trinidad and Tobago,0,1,0,1,1948,2,0,822
32,Panama,0,0,2,2,1948,2,0,822
32,South Korea,0,0,2,2,1948,2,0,822
34,Brazil,0,0,1,1,1948,1,0,822
34,Iran,0,0,1,1,1948,1,0,822
34,Poland,0,0,1,1,1948,1,0,822
34,Puerto Rico,0,0,1,1,1948,1,0,822
1,United States,40,19,17,76,1952,175,0,909
2,Soviet Union,22,30,19,71,1952,145,0,909
3,Hungary,16,10,16,42,1952,84,0,909
4,Sweden,12,13,10,35,1952,72,0,909
5,Italy,8,9,4,21,1952,46,0,909
6,Czechoslovakia,7,3,3,13,1952,30,0,909
7,France,6,6,6,18,1952,36,0,909
8,Finland,6,3,13,22,1952,37,1,909
9,Australia,6,2,3,11,1952,25,0,909
10,Norway,3,2,0,5,1952,13,0,909
11,Switzerland,2,6,6,14,1952,24,0,909
12,South Africa,2,4,4,10,1952,18,0,909
13,Jamaica,2,3,0,5,1952,12,0,909
14,Belgium,2,2,0,4,1952,10,0,909
15,Denmark,2,1,3,6,1952,11,0,909
16,Turkey,2,0,1,3,1952,7,0,909
17,Japan,1,6,2,9,1952,17,0,909
18,Great Britain,1,2,8,11,1952,15,0,909
19,Argentina,1,2,2,5,1952,9,0,909
20,Poland,1,2,1,4,1952,8,0,909
21,Canada,1,2,0,3,1952,7,0,909
21,Yugoslavia,1,2,0,3,1952,7,0,909
23,Romania,1,1,2,4,1952,7,0,909
24,Brazil,1,0,2,3,1952,5,0,909
24,New Zealand,1,0,2,3,1952,5,0,909
26,India,1,0,1,2,1952,4,0,909
27,Luxembourg,1,0,0,1,1952,3,0,909
28,Germany,0,7,17,24,1952,31,0,909
29,Netherlands,0,5,0,5,1952,10,0,909
30,Iran,0,3,4,7,1952,10,0,909
31,Chile,0,2,0,2,1952,4,0,909
32,Austria,0,1,1,2,1952,3,0,909
32,Lebanon,0,1,1,2,1952,3,0,909
34,Ireland,0,1,0,1,1952,2,0,909
34,Mexico,0,1,0,1,1952,2,0,909
34,Spain,0,1,0,1,1952,2,0,909
37,South Korea,0,0,2,2,1952,2,0,909
37,Trinidad and Tobago,0,0,2,2,1952,2,0,909
