Rank,NOC,Gold,Silver,Bronze,Total,Year,Total Score,Is Host,Yearly Total Score,Score_Rate
1,United States,11,7,2,20,1896,49,0,251,0.1952191235059761
2,Greece,10,18,19,47,1896,85,1,251,0.3386454183266932
3,Germany,6,5,2,13,1896,30,0,251,0.11952191235059761
4,France,5,4,2,11,1896,25,0,251,0.099601593625498
5,Great Britain,2,3,2,7,1896,14,0,251,0.055776892430278883
6,Hungary,2,1,3,6,1896,11,0,251,0.043824701195219126
7,Austria,2,1,2,5,1896,10,0,251,0.0398406374501992
8,Australia,2,0,0,2,1896,6,0,251,0.02390438247011952
9,Denmark,1,2,3,6,1896,10,0,251,0.0398406374501992
10,Switzerland,1,2,0,3,1896,7,0,251,0.027888446215139442
11,Mixed team,1,0,1,2,1896,4,0,251,0.01593625498007968
1,France,27,39,37,103,1900,196,1,571,0.3432574430823117
2,United States,19,14,15,48,1900,100,0,571,0.17513134851138354
3,Great Britain,15,7,9,31,1900,68,0,571,0.1190893169877408
4,Mixed team,8,5,6,19,1900,40,0,571,0.07005253940455342
5,Belgium,6,7,4,17,1900,36,0,571,0.06304728546409807
6,Switzerland,6,2,1,9,1900,23,0,571,0.040280210157618214
7,Germany,4,3,2,9,1900,20,0,571,0.03502626970227671
8,Italy,3,2,0,5,1900,13,0,571,0.02276707530647986
9,Australia,2,0,3,5,1900,9,0,571,0.01576182136602452
10,Denmark,1,3,2,6,1900,11,0,571,0.01926444833625219
11,Hungary,1,2,2,5,1900,9,0,571,0.01576182136602452
12,Cuba,1,1,0,2,1900,5,0,571,0.008756567425569177
13,Canada,1,0,1,2,1900,4,0,571,0.0070052539404553416
14,Spain,1,0,0,1,1900,3,0,571,0.005253940455341506
14,Luxembourg,1,0,0,1,1900,3,0,571,0.005253940455341506
16,Austria,0,3,3,6,1900,9,0,571,0.01576182136602452
17,Norway,0,2,3,5,1900,7,0,571,0.012259194395796848
17,Netherlands,0,2,3,5,1900,7,0,571,0.012259194395796848
19,India,0,2,0,2,1900,4,0,571,0.0070052539404553416
20,Bohemia,0,1,1,2,1900,3,0,571,0.005253940455341506
21,Sweden,0,0,1,1,1900,1,0,571,0.0017513134851138354
1,United States,76,78,77,231,1904,461,1,566,0.8144876325088339
2,Germany,4,5,6,15,1904,28,0,566,0.04946996466431095
3,Canada,4,1,1,6,1904,15,0,566,0.026501766784452298
4,Cuba,3,0,0,3,1904,9,0,566,0.015901060070671377
5,Hungary,2,1,1,4,1904,9,0,566,0.015901060070671377
5,Mixed team,2,1,1,4,1904,9,0,566,0.015901060070671377
7,Norway,2,0,0,2,1904,6,0,566,0.01060070671378092
8,Austria,1,1,1,3,1904,6,0,566,0.01060070671378092
9,Great Britain,1,1,0,2,1904,5,0,566,0.0088339222614841
10,Switzerland,1,0,2,3,1904,5,0,566,0.0088339222614841
11,Greece,1,0,1,2,1904,4,0,566,0.007067137809187279
12,Australia,0,3,1,4,1904,7,0,566,0.012367491166077738
13,France,0,1,0,1,1904,2,0,566,0.0035335689045936395
1,Great Britain,56,51,39,146,1908,309,1,651,0.47465437788018433
2,United States,23,12,12,47,1908,105,0,651,0.16129032258064516
3,Sweden,8,6,11,25,1908,47,0,651,0.07219662058371736
4,France,5,5,9,19,1908,34,0,651,0.05222734254992319
5,Germany,3,5,5,13,1908,24,0,651,0.03686635944700461
6,Hungary,3,4,2,9,1908,19,0,651,0.029185867895545316
7,Canada,3,3,10,16,1908,25,0,651,0.03840245775729647
8,Norway,2,3,3,8,1908,15,0,651,0.02304147465437788
9,Italy,2,2,0,4,1908,10,0,651,0.015360983102918587
10,Belgium,1,5,2,8,1908,15,0,651,0.02304147465437788
11,Australasia,1,2,2,5,1908,9,0,651,0.013824884792626729
