,Year,Total_Score,Rolling_Mean,Rolling_Std,Threshold,Performance_Spike,NOC,Sport,Host,Name,EventCount,PersonCount
0,1936,0,,0,,FALSE,AFG,Athletics,0,2,3,2
1,1960,0,0,0,0,FALSE,AFG,Athletics,0,5,6,5
2,1996,0,0,0,0,FALSE,AFG,Athletics,0,2,2,2
3,2004,0,0,0,0,FALSE,AFG,Athletics,0,2,2,2
4,2008,0,0,0,0,FALSE,AFG,Athletics,0,2,2,2
5,2012,0,0,0,0,FALSE,AFG,Athletics,0,2,2,2
6,2016,0,0,0,0,FALSE,AFG,Athletics,0,2,2,2
7,2020,0,0,0,0,FALSE,AFG,Athletics,0,2,2,2
8,2024,0,0,0,0,FALSE,AFG,Athletics,0,2,2,2
9,1980,0,,0,,FALSE,AFG,Boxing,0,3,3,3
10,2004,0,0,0,0,FALSE,AFG,Boxing,0,1,1,1
11,2012,0,0,0,0,FALSE,AFG,Boxing,0,1,1,1
12,1936,0,,0,,FALSE,AFG,Hockey,0,13,1,13
13,1948,0,0,0,0,FALSE,AFG,Hockey,0,12,1,12
14,1956,0,0,0,0,FALSE,AFG,Hockey,0,12,1,12
15,2004,0,,0,,FALSE,AFG,Judo,0,1,1,1
16,2012,0,0,0,0,FALSE,AFG,Judo,0,1,1,1
17,2016,0,0,0,0,FALSE,AFG,Judo,0,1,1,1
18,2024,0,0,0,0,FALSE,AFG,Judo,0,1,1,1
19,2020,0,,0,,FALSE,AFG,Swimming,0,1,1,1
20,2024,0,0,0,0,FALSE,AFG,Swimming,0,1,1,1
21,2008,1,,0,,FALSE,AFG,Taekwondo,0,2,2,2
22,2012,1,1,0,1,FALSE,AFG,Taekwondo,0,2,2,2
23,2020,0,0.6666666666666666,0.5773502691896258,1.5326920704511051,FALSE,AFG,Taekwondo,0,1,1,1
24,1960,0,,0,,FALSE,AFG,Wrestling,0,7,7,7
25,1964,0,0,0,0,FALSE,AFG,Wrestling,0,8,8,8
26,1968,0,0,0,0,FALSE,AFG,Wrestling,0,5,5,5
27,1972,0,0,0,0,FALSE,AFG,Wrestling,0,8,8,8
28,1980,0,0,0,0,FALSE,AFG,Wrestling,0,8,8,8
29,1988,0,0,0,0,FALSE,AFG,Wrestling,0,5,5,5
30,2004,0,0,0,0,FALSE,AFG,Wrestling,0,1,1,1
31,1976,0,,0,,FALSE,AHO,Athletics,0,2,2,2
32,1984,0,0,0,0,FALSE,AHO,Athletics,0,3,4,3
33,1992,0,0,0,0,FALSE,AHO,Athletics,0,1,1,1
34,1996,0,0,0,0,FALSE,AHO,Athletics,0,1,1,1
35,2000,0,0,0,0,FALSE,AHO,Athletics,0,2,2,2
36,2004,0,0,0,0,FALSE,AHO,Athletics,0,2,2,2
37,2008,0,0,0,0,FALSE,AHO,Athletics,0,1,2,1
38,2000,0,,0,,FALSE,AHO,Equestrianism,0,1,1,1
39,2004,0,0,0,0,FALSE,AHO,Equestrianism,0,1,1,1
40,1964,0,,0,,FALSE,AHO,Fencing,0,1,1,1
41,1968,0,0,0,0,FALSE,AHO,Fencing,0,3,2,3
42,1976,0,,0,,FALSE,AHO,Judo,0,2,2,2
43,1996,0,0,0,0,FALSE,AHO,Judo,0,1,1,1
44,1988,2,,0,,FALSE,AHO,Sailing,0,1,1,1
45,1992,0,1,1.4142135623730951,3.121320343559643,FALSE,AHO,Sailing,0,2,2,2
46,1996,0,0.6666666666666666,1.1547005383792517,2.398717474235544,FALSE,AHO,Sailing,0,2,2,2
47,2000,0,0.5,1,2,FALSE,AHO,Sailing,0,1,1,1
48,1972,0,,0,,FALSE,AHO,Shooting,0,1,1,1
49,1988,0,0,0,0,FALSE,AHO,Shooting,0,1,1,1
50,1992,0,0,0,0,FALSE,AHO,Shooting,0,1,1,1
51,1996,0,0,0,0,FALSE,AHO,Shooting,0,1,2,1
52,2000,0,0,0,0,FALSE,AHO,Shooting,0,1,1,1
53,2008,0,0,0,0,FALSE,AHO,Shooting,0,1,1,1
54,1984,0,,0,,FALSE,AHO,Swimming,0,3,4,3
55,1988,0,0,0,0,FALSE,AHO,Swimming,0,1,2,1
56,1996,0,0,0,0,FALSE,AHO,Swimming,0,1,1,1
57,2000,0,0,0,0,FALSE,AHO,Swimming,0,1,2,1
58,2008,0,0,0,0,FALSE,AHO,Swimming,0,1,1,1
59,1960,0,,0,,FALSE,AHO,Weightlifting,0,5,4,5
60,1964,0,0,0,0,FALSE,AHO,Weightlifting,0,3,3,3
61,1968,0,0,0,0,FALSE,AHO,Weightlifting,0,2,2,2
62,1972,0,0,0,0,FALSE,AHO,Weightlifting,0,1,1,1
63,1992,0,,0,,FALSE,ALB,Athletics,0,1,1,1
64,1996,0,0,0,0,FALSE,ALB,Athletics,0,2,2,2
65,2000,0,0,0,0,FALSE,ALB,Athletics,0,2,2,2
66,2004,0,0,0,0,FALSE,ALB,Athletics,0,2,2,2
67,2008,0,0,0,0,FALSE,ALB,Athletics,0,2,2,2
68,2012,0,0,0,0,FALSE,ALB,Athletics,0,1,1,1
69,2016,0,0,0,0,FALSE,ALB,Athletics,0,2,2,2
70,2020,0,0,0,0,FALSE,ALB,Athletics,0,2,2,2
71,2024,0,0,0,0,FALSE,ALB,Athletics,0,2,2,2
72,2008,0,,0,,FALSE,ALB,Judo,0,1,1,1
73,2012,0,0,0,0,FALSE,ALB,Judo,0,1,1,1
74,2020,0,0,0,0,FALSE,ALB,Judo,0,1,1,1
75,1972,0,,0,,FALSE,ALB,Shooting,0,4,2,4
76,1992,0,0,0,0,FALSE,ALB,Shooting,0,2,2,2
77,1996,0,0,0,0,FALSE,ALB,Shooting,0,2,2,2
78,2000,0,0,0,0,FALSE,ALB,Shooting,0,1,2,1
79,2008,0,0,0,0,FALSE,ALB,Shooting,0,1,2,1
80,2012,0,0,0,0,FALSE,ALB,Shooting,0,1,2,1
81,2020,0,0,0,0,FALSE,ALB,Shooting,0,1,2,1
82,2024,0,0,0,0,FALSE,ALB,Shooting,0,1,2,1
83,1992,0,,0,,FALSE,ALB,Swimming,0,1,3,1
84,2004,0,0,0,0,FALSE,ALB,Swimming,0,2,2,2
85,2008,0,0,0,0,FALSE,ALB,Swimming,0,2,2,2
86,2012,0,0,0,0,FALSE,ALB,Swimming,0,2,2,2
87,2016,0,0,0,0,FALSE,ALB,Swimming,0,2,2,2
88,2020,0,0,0,0,FALSE,ALB,Swimming,0,2,2,2
89,2024,0,0,0,0,FALSE,ALB,Swimming,0,2,2,2
90,1972,0,,0,,FALSE,ALB,Weightlifting,0,1,1,1
91,1992,0,0,0,0,FALSE,ALB,Weightlifting,0,3,2,3
92,1996,0,0,0,0,FALSE,ALB,Weightlifting,0,1,1,1
93,2000,0,0,0,0,FALSE,ALB,Weightlifting,0,1,1,1
94,2004,0,0,0,0,FALSE,ALB,Weightlifting,0,2,2,2
95,2008,0,0,0,0,FALSE,ALB,Weightlifting,0,3,3,3
96,2012,0,0,0,0,FALSE,ALB,Weightlifting,0,4,3,4
97,2016,0,0,0,0,FALSE,ALB,Weightlifting,0,2,2,2
98,2020,0,0,0,0,FALSE,ALB,Weightlifting,0,2,2,2
99,1996,0,,0,,FALSE,ALB,Wrestling,0,1,1,1
100,2004,0,0,0,0,FALSE,ALB,Wrestling,0,1,1,1
