Year,Total_Score,Rolling_Mean,Rolling_Std,Threshold,Performance_Spike,NOC,Sport
1936,0,,0.0,,False,AFG,Athletics
1960,0,0.0,0.0,0.0,False,AFG,Athletics
1996,0,0.0,0.0,0.0,False,AFG,Athletics
2004,0,0.0,0.0,0.0,False,AFG,Athletics
2008,0,0.0,0.0,0.0,False,AFG,Athletics
2012,0,0.0,0.0,0.0,False,AFG,Athletics
2016,0,0.0,0.0,0.0,False,AFG,Athletics
2020,0,0.0,0.0,0.0,False,AFG,Athletics
2024,0,0.0,0.0,0.0,False,AFG,Athletics
1980,0,,0.0,,False,AFG,Boxing
2004,0,0.0,0.0,0.0,False,AFG,Boxing
2012,0,0.0,0.0,0.0,False,AFG,Boxing
1936,0,,0.0,,False,AFG,Hockey
1948,0,0.0,0.0,0.0,False,AFG,Hockey
1956,0,0.0,0.0,0.0,False,AFG,Hockey
2004,0,,0.0,,False,AFG,Judo
2012,0,0.0,0.0,0.0,False,AFG,Judo
2016,0,0.0,0.0,0.0,False,AFG,Judo
2024,0,0.0,0.0,0.0,False,AFG,Judo
2020,0,,0.0,,False,AFG,Swimming
2024,0,0.0,0.0,0.0,False,AFG,Swimming
2008,1,,0.0,,False,AFG,Taekwondo
2012,1,1.0,0.0,1.0,False,AFG,Taekwondo
2020,0,0.6666666666666666,0.5773502691896258,1.5326920704511053,False,AFG,Taekwondo
1960,0,,0.0,,False,AFG,Wrestling
1964,0,0.0,0.0,0.0,False,AFG,Wrestling
1968,0,0.0,0.0,0.0,False,AFG,Wrestling
1972,0,0.0,0.0,0.0,False,AFG,Wrestling
1980,0,0.0,0.0,0.0,False,AFG,Wrestling
1988,0,0.0,0.0,0.0,False,AFG,Wrestling
2004,0,0.0,0.0,0.0,False,AFG,Wrestling
1976,0,,0.0,,False,AHO,Athletics
1984,0,0.0,0.0,0.0,False,AHO,Athletics
1992,0,0.0,0.0,0.0,False,AHO,Athletics
1996,0,0.0,0.0,0.0,False,AHO,Athletics
2000,0,0.0,0.0,0.0,False,AHO,Athletics
2004,0,0.0,0.0,0.0,False,AHO,Athletics
2008,0,0.0,0.0,0.0,False,AHO,Athletics
2000,0,,0.0,,False,AHO,Equestrianism
2004,0,0.0,0.0,0.0,False,AHO,Equestrianism
1964,0,,0.0,,False,AHO,Fencing
1968,0,0.0,0.0,0.0,False,AHO,Fencing
1976,0,,0.0,,False,AHO,Judo
1996,0,0.0,0.0,0.0,False,AHO,Judo
1988,2,,0.0,,False,AHO,Sailing
1992,0,1.0,1.4142135623730951,3.121320343559643,False,AHO,Sailing
1996,0,0.6666666666666666,1.1547005383792517,2.398717474235544,False,AHO,Sailing
2000,0,0.5,1.0,2.0,False,AHO,Sailing
1972,0,,0.0,,False,AHO,Shooting
1988,0,0.0,0.0,0.0,False,AHO,Shooting
1992,0,0.0,0.0,0.0,False,AHO,Shooting
1996,0,0.0,0.0,0.0,False,AHO,Shooting
2000,0,0.0,0.0,0.0,False,AHO,Shooting
2008,0,0.0,0.0,0.0,False,AHO,Shooting
1984,0,,0.0,,False,AHO,Swimming
1988,0,0.0,0.0,0.0,False,AHO,Swimming
1996,0,0.0,0.0,0.0,False,AHO,Swimming
2000,0,0.0,0.0,0.0,False,AHO,Swimming
2008,0,0.0,0.0,0.0,False,AHO,Swimming
1960,0,,0.0,,False,AHO,Weightlifting
1964,0,0.0,0.0,0.0,False,AHO,Weightlifting
1968,0,0.0,0.0,0.0,False,AHO,Weightlifting
1972,0,0.0,0.0,0.0,False,AHO,Weightlifting
1992,0,,0.0,,False,ALB,Athletics
1996,0,0.0,0.0,0.0,False,ALB,Athletics
2000,0,0.0,0.0,0.0,False,ALB,Athletics
2004,0,0.0,0.0,0.0,False,ALB,Athletics
2008,0,0.0,0.0,0.0,False,ALB,Athletics
2012,0,0.0,0.0,0.0,False,ALB,Athletics
2016,0,0.0,0.0,0.0,False,ALB,Athletics
2020,0,0.0,0.0,0.0,False,ALB,Athletics
2024,0,0.0,0.0,0.0,False,ALB,Athletics
2008,0,,0.0,,False,ALB,Judo
2012,0,0.0,0.0,0.0,False,ALB,Judo
2020,0,0.0,0.0,0.0,False,ALB,Judo
1972,0,,0.0,,False,ALB,Shooting
1992,0,0.0,0.0,0.0,False,ALB,Shooting
1996,0,0.0,0.0,0.0,False,ALB,Shooting
2000,0,0.0,0.0,0.0,False,ALB,Shooting
2008,0,0.0,0.0,0.0,False,ALB,Shooting
2012,0,0.0,0.0,0.0,False,ALB,Shooting
2020,0,0.0,0.0,0.0,False,ALB,Shooting
2024,0,0.0,0.0,0.0,False,ALB,Shooting
1992,0,,0.0,,False,ALB,Swimming
2004,0,0.0,0.0,0.0,False,ALB,Swimming
2008,0,0.0,0.0,0.0,False,ALB,Swimming
2012,0,0.0,0.0,0.0,False,ALB,Swimming
2016,0,0.0,0.0,0.0,False,ALB,Swimming
2020,0,0.0,0.0,0.0,False,ALB,Swimming
2024,0,0.0,0.0,0.0,False,ALB,Swimming
